MaSV,HoTen,Diem
SV839,Tran Thi S9,7.51
SV840,Le Van S0,7.85
SV841,Nguyen Van S1,8.11
SV842,Tran Thi S2,6.89
SV843,Le Van S3,8.6
SV844,Nguyen Van S4,9.68
SV845,Tran Thi S5,7.67
SV846,Le Van S6,4.02
SV847,Nguyen Van S7,7.78
SV848,Tran Thi S8,5.54
SV849,Le Van S9,5.58
SV850,Nguyen Van S0,4.33
SV851,Tran Thi S1,6.43
SV852,Le Van S2,4.21
SV853,Nguyen Van S3,7.01
SV854,Tran Thi S4,9.36
SV855,Le Van S5,5.04
SV856,Nguyen Van S6,9.93
SV857,Tran Thi S7,6.86
SV858,Le Van S8,8.41
SV859,Nguyen Van S9,4.92
SV860,Tran Thi S0,4.69
SV861,Le Van S1,6.97
SV862,Nguyen Van S2,4.16
SV863,Tran Thi S3,4.97
SV864,Le Van S4,6.16
SV865,Nguyen Van S5,4.61
SV866,Tran Thi S6,5.7
SV867,Le Van S7,6.63
SV868,Nguyen Van S8,4.32
SV869,Tran Thi S9,4.83
SV870,Le Van S0,6.58
SV871,Nguyen Van S1,6.06
SV872,Tran Thi S2,8.73
SV873,Le Van S3,8.73
SV874,Nguyen Van S4,4.58
SV875,Tran Thi S5,7.19
SV876,Le Van S6,5.37
SV877,Nguyen Van S7,5.39
SV878,Tran Thi S8,6.8
SV879,Le Van S9,9.62
SV880,Nguyen Van S0,9.48
SV881,Tran Thi S1,4.56
SV882,Le Van S2,6.74
SV883,Nguyen Van S3,8.51
SV884,Tran Thi S4,5.78
SV885,Le Van S5,7.14
SV886,Nguyen Van S6,4.43
SV887,Tran Thi S7,5.03
SV888,Le Van S8,9.99
SV889,Nguyen Van S9,4.77
SV890,Tran Thi S0,4.91
SV891,Le Van S1,5.75
SV892,Nguyen Van S2,7.8
SV893,Tran Thi S3,5.86
SV894,Le Van S4,4.23
SV895,Nguyen Van S5,9.69
SV896,Tran Thi S6,6.46
SV897,Le Van S7,7.61
SV898,Nguyen Van S8,8.52
SV899,Tran Thi S9,4.62
SV900,Le Van S0,8.8
SV901,Nguyen Van S1,6.12
SV902,Tran Thi S2,4.51
SV903,Le Van S3,4.17
SV904,Nguyen Van S4,8.91
SV905,Tran Thi S5,7.28
SV906,Le Van S6,4.96
SV907,Nguyen Van S7,5.65
SV908,Tran Thi S8,4.68
SV909,Le Van S9,4.36
SV910,Nguyen Van S0,6.94
SV911,Tran Thi S1,7.02
SV912,Le Van S2,8.36
SV913,Nguyen Van S3,5.78
SV914,Tran Thi S4,6.8
SV915,Le Van S5,4.69
SV916,Nguyen Van S6,7.15
SV917,Tran Thi S7,5.29
SV918,Le Van S8,9.83
SV919,Nguyen Van S9,8.52
SV920,Tran Thi S0,8.13
SV921,Le Van S1,5.05
SV922,Nguyen Van S2,5.58
SV923,Tran Thi S3,6.25
SV924,Le Van S4,6.1
SV925,Nguyen Van S5,6.01
SV926,Tran Thi S6,4.97
SV927,Le Van S7,9.69
SV928,Nguyen Van S8,8.69
SV929,Tran Thi S9,8.71
SV930,Le Van S0,8.59
SV931,Nguyen Van S1,4.6
SV932,Tran Thi S2,4.33
SV933,Le Van S3,9.74
SV934,Nguyen Van S4,4.64
SV935,Tran Thi S5,8.31
SV936,Le Van S6,4.26
SV937,Nguyen Van S7,7.56
SV938,Tran Thi S8,7.3
SV939,Le Van S9,5.88
SV940,Nguyen Van S0,9.38
SV941,Tran Thi S1,8.55
SV942,Le Van S2,8.92
SV943,Nguyen Van S3,9.08
SV944,Tran Thi S4,8.87
SV945,Le Van S5,4.94
SV946,Nguyen Van S6,8.7
SV947,Tran Thi S7,8.53
SV948,Le Van S8,5.44
SV949,Nguyen Van S9,8.1
SV950,Tran Thi S0,6.65
SV951,Le Van S1,7.69
SV952,Nguyen Van S2,8.92
SV953,Tran Thi S3,9.97
SV954,Le Van S4,5.78
SV955,Nguyen Van S5,7.66
SV956,Tran Thi S6,7.66
SV957,Le Van S7,9.32
SV958,Nguyen Van S8,6.06
SV959,Tran Thi S9,6.64
SV960,Le Van S0,7.39
SV961,Nguyen Van S1,8.81
SV962,Tran Thi S2,5.68
SV963,Le Van S3,9
SV964,Nguyen Van S4,6.75
SV965,Tran Thi S5,9.55
SV966,Le Van S6,8.94
SV967,Nguyen Van S7,8.14
SV968,Tran Thi S8,9.19
SV969,Le Van S9,5.53
SV970,Nguyen Van S0,6.82
SV971,Tran Thi S1,8.07
SV972,Le Van S2,5.03
SV973,Nguyen Van S3,4.82
SV974,Tran Thi S4,8.73
SV975,Le Van S5,7.5
SV976,Nguyen Van S6,8.57
SV977,Tran Thi S7,4.02
SV978,Le Van S8,8.18
SV979,Nguyen Van S9,5.17
SV980,Tran Thi S0,9.22
SV981,Le Van S1,6.54
SV982,Nguyen Van S2,8.66
SV983,Tran Thi S3,8.26
SV984,Le Van S4,4.35
SV985,Nguyen Van S5,9.54
SV986,Tran Thi S6,9.5
SV987,Le Van S7,4.4
SV988,Nguyen Van S8,6.21
SV989,Tran Thi S9,4.79
SV990,Le Van S0,4.37
SV991,Nguyen Van S1,5.98
SV992,Tran Thi S2,5.97
SV993,Le Van S3,8.52
SV994,Nguyen Van S4,9.94
SV995,Tran Thi S5,7.71
SV996,Le Van S6,9.81
SV997,Nguyen Van S7,5.69
SV998,Tran Thi S8,9.69
SV999,Le Van S9,5.79
SV1000,Nguyen Van S0,4.43
SV1001,Tran Thi S1,8.12
SV1002,Le Van S2,6.81
SV1003,Nguyen Van S3,8.71
SV1004,Tran Thi S4,9.76
SV1005,Le Van S5,6.38
SV1006,Nguyen Van S6,9.93
SV1007,Tran Thi S7,8.46
SV1008,Le Van S8,4.03
SV1009,Nguyen Van S9,6.89
SV1010,Tran Thi S0,5.44
SV1011,Le Van S1,6.52
SV1012,Nguyen Van S2,4.49
SV1013,Tran Thi S3,5.8
SV1014,Le Van S4,7.12
SV1015,Nguyen Van S5,9.74
SV1016,Tran Thi S6,5.82
SV1017,Le Van S7,7.5
SV1018,Nguyen Van S8,9.22
SV1019,Tran Thi S9,5.53
SV1020,Le Van S0,4.01
SV1021,Nguyen Van S1,5.39
SV1022,Tran Thi S2,8.16
SV1023,Le Van S3,5.96
SV1024,Nguyen Van S4,9.57
SV1025,Tran Thi S5,9.66
SV1026,Le Van S6,9.92
SV1027,Nguyen Van S7,5.29
SV1028,Tran Thi S8,9.37
SV1029,Le Van S9,7.12
SV1030,Nguyen Van S0,5.4
SV1031,Tran Thi S1,8.76
SV1032,Le Van S2,6.58
SV1033,Nguyen Van S3,8.56
SV1034,Tran Thi S4,4.86
SV1035,Le Van S5,5.11
SV1036,Nguyen Van S6,7.29
SV1037,Tran Thi S7,7.8
SV1038,Le Van S8,5.35
SV1039,Nguyen Van S9,4.46
SV1040,Tran Thi S0,4.8
SV1041,Le Van S1,4.74
SV1042,Nguyen Van S2,6.92
SV1043,Tran Thi S3,9.45
SV1044,Le Van S4,8.7
SV1045,Nguyen Van S5,4.2
SV1046,Tran Thi S6,4.83
SV1047,Le Van S7,5.67
SV1048,Nguyen Van S8,9.99
SV1049,Tran Thi S9,4.78
SV1050,Le Van S0,4.66
SV1051,Nguyen Van S1,6.43
SV1052,Tran Thi S2,9.29
SV1053,Le Van S3,7.75
SV1054,Nguyen Van S4,4.74
SV1055,Tran Thi S5,8.7
SV1056,Le Van S6,4.04
SV1057,Nguyen Van S7,8.98
SV1058,Tran Thi S8,7.02
SV1059,Le Van S9,8.6
SV1060,Nguyen Van S0,7.27
SV1061,Tran Thi S1,8.43
SV1062,Le Van S2,4.45
SV1063,Nguyen Van S3,8.01
SV1064,Tran Thi S4,8.26
SV1065,Le Van S5,6.66
SV1066,Nguyen Van S6,6.44
SV1067,Tran Thi S7,4.43
SV1068,Le Van S8,8.52
SV1069,Nguyen Van S9,5.94
SV1070,Tran Thi S0,9.97
SV1071,Le Van S1,4.84
SV1072,Nguyen Van S2,8.12
SV1073,Tran Thi S3,6.74
SV1074,Le Van S4,6.56
SV1075,Nguyen Van S5,4.41
SV1076,Tran Thi S6,6.02
SV1077,Le Van S7,8.04
SV1078,Nguyen Van S8,6.01
SV1079,Tran Thi S9,5.01
SV1080,Le Van S0,5.32
SV1081,Nguyen Van S1,6.35
SV1082,Tran Thi S2,6.15
SV1083,Le Van S3,7.58
SV1084,Nguyen Van S4,6.1
SV1085,Tran Thi S5,6.37
SV1086,Le Van S6,8.07
SV1087,Nguyen Van S7,6.18
SV1088,Tran Thi S8,7.19
SV1089,Le Van S9,5.8
SV1090,Nguyen Van S0,8.17
SV1091,Tran Thi S1,5.3
SV1092,Le Van S2,9.73
SV1093,Nguyen Van S3,9.49
SV1094,Tran Thi S4,4.96
SV1095,Le Van S5,8.25
SV1096,Nguyen Van S6,5.79
SV1097,Tran Thi S7,5.47
SV1098,Le Van S8,8.41
SV1099,Nguyen Van S9,6.1
SV1100,Tran Thi S0,6.7
SV1101,Le Van S1,6.69
SV1102,Nguyen Van S2,8.12
SV1103,Tran Thi S3,6.94
SV1104,Le Van S4,8.6
SV1105,Nguyen Van S5,6.1
SV1106,Tran Thi S6,5.9
SV1107,Le Van S7,9.83
SV1108,Nguyen Van S8,6.12
SV1109,Tran Thi S9,8.71
SV1110,Le Van S0,9.75
SV1111,Nguyen Van S1,8.5
SV1112,Tran Thi S2,4.48
SV1113,Le Van S3,4.74
SV1114,Nguyen Van S4,7.08
SV1115,Tran Thi S5,7.08
SV1116,Le Van S6,6.39
SV1117,Nguyen Van S7,4.19
SV1118,Tran Thi S8,7.81
SV1119,Le Van S9,8.83
SV1120,Nguyen Van S0,5.34
SV1121,Tran Thi S1,4.71
SV1122,Le Van S2,5.95
SV1123,Nguyen Van S3,7.41
SV1124,Tran Thi S4,6.71
SV1125,Le Van S5,9.34
SV1126,Nguyen Van S6,6.72
SV1127,Tran Thi S7,7.72
SV1128,Le Van S8,7.59
SV1129,Nguyen Van S9,5.43
SV1130,Tran Thi S0,6.13
SV1131,Le Van S1,9.89
SV1132,Nguyen Van S2,6.46
SV1133,Tran Thi S3,8.66
SV1134,Le Van S4,6.12
SV1135,Nguyen Van S5,4.66
SV1136,Tran Thi S6,9.91
SV1137,Le Van S7,6.2
SV1138,Nguyen Van S8,8.04
SV1139,Tran Thi S9,9.48
SV1140,Le Van S0,7.69
SV1141,Nguyen Van S1,6.29
SV1142,Tran Thi S2,7.25
SV1143,Le Van S3,9.89
SV1144,Nguyen Van S4,5.64
SV1145,Tran Thi S5,6.17
SV1146,Le Van S6,8.19
SV1147,Nguyen Van S7,5.53
SV1148,Tran Thi S8,7.61
SV1149,Le Van S9,5.69
SV1150,Nguyen Van S0,9.02
SV1151,Tran Thi S1,7.25
SV1152,Le Van S2,4.82
SV1153,Nguyen Van S3,9.97
SV1154,Tran Thi S4,7.2
SV1155,Le Van S5,7.45
SV1156,Nguyen Van S6,6.92
SV1157,Tran Thi S7,4.24
SV1158,Le Van S8,7.91
SV1159,Nguyen Van S9,4.7
SV1160,Tran Thi S0,7.66
SV1161,Le Van S1,5.76
SV1162,Nguyen Van S2,6.26
SV1163,Tran Thi S3,7
SV1164,Le Van S4,9.53
SV1165,Nguyen Van S5,6.87
SV1166,Tran Thi S6,4.84
SV1167,Le Van S7,4.46
SV1168,Nguyen Van S8,5.9
SV1169,Tran Thi S9,4.51
SV1170,Le Van S0,6.97
SV1171,Nguyen Van S1,4.53
SV1172,Tran Thi S2,6.87
SV1173,Le Van S3,6.23
SV1174,Nguyen Van S4,4.88
SV1175,Tran Thi S5,9.69
SV1176,Le Van S6,9.62
SV1177,Nguyen Van S7,6.64
SV1178,Tran Thi S8,4.51
SV1179,Le Van S9,7.86
SV1180,Nguyen Van S0,7.68
SV1181,Tran Thi S1,6.34
SV1182,Le Van S2,7.86
SV1183,Nguyen Van S3,4.55
SV1184,Tran Thi S4,6.02
SV1185,Le Van S5,5.48
SV1186,Nguyen Van S6,6.77
SV1187,Tran Thi S7,8.6
SV1188,Le Van S8,4.66
SV1189,Nguyen Van S9,4.37
SV1190,Tran Thi S0,6.74
SV1191,Le Van S1,8.32
SV1192,Nguyen Van S2,4.08
SV1193,Tran Thi S3,4.52
SV1194,Le Van S4,5.68
SV1195,Nguyen Van S5,5.84
SV1196,Tran Thi S6,9.69
SV1197,Le Van S7,4.93
SV1198,Nguyen Van S8,8.37
SV1199,Tran Thi S9,8.18
SV1200,Le Van S0,8.36
SV1201,Nguyen Van S1,6.38
SV1202,Tran Thi S2,7.99
SV1203,Le Van S3,8
SV1204,Nguyen Van S4,6.84
SV1205,Tran Thi S5,6.88
SV1206,Le Van S6,6.81
SV1207,Nguyen Van S7,7.01
SV1208,Tran Thi S8,6.08
SV1209,Le Van S9,7.55
SV1210,Nguyen Van S0,4.79
SV1211,Tran Thi S1,8.56
SV1212,Le Van S2,4.76
SV1213,Nguyen Van S3,6.98
SV1214,Tran Thi S4,7.87
SV1215,Le Van S5,7.71
SV1216,Nguyen Van S6,5.64
SV1217,Tran Thi S7,5.91
SV1218,Le Van S8,5.71
SV1219,Nguyen Van S9,5.68
SV1220,Tran Thi S0,4.59
SV1221,Le Van S1,6.43
SV1222,Nguyen Van S2,7.1
SV1223,Tran Thi S3,4.88
SV1224,Le Van S4,7.06
SV1225,Nguyen Van S5,8.61
SV1226,Tran Thi S6,4.46
SV1227,Le Van S7,7.44
SV1228,Nguyen Van S8,8.6
SV1229,Tran Thi S9,7.84
SV1230,Le Van S0,5.17
SV1231,Nguyen Van S1,6.11
SV1232,Tran Thi S2,8.92
SV1233,Le Van S3,5.62
SV1234,Nguyen Van S4,4.31
SV1235,Tran Thi S5,8.76
SV1236,Le Van S6,8.03
SV1237,Nguyen Van S7,4.46
SV1238,Tran Thi S8,8.46
SV1239,Le Van S9,8.42
SV1240,Nguyen Van S0,6.65
SV1241,Tran Thi S1,9.49
SV1242,Le Van S2,5.05
SV1243,Nguyen Van S3,9.93
SV1244,Tran Thi S4,7.48
SV1245,Le Van S5,8.23
SV1246,Nguyen Van S6,7.08
SV1247,Tran Thi S7,6.25
SV1248,Le Van S8,4.47
SV1249,Nguyen Van S9,9.22
SV1250,Tran Thi S0,5.9
SV1251,Le Van S1,6.08
SV1252,Nguyen Van S2,5.81
SV1253,Tran Thi S3,9.69
SV1254,Le Van S4,8.43
SV1255,Nguyen Van S5,7.96
SV1256,Tran Thi S6,5.42
SV1257,Le Van S7,4.83
SV1258,Nguyen Van S8,7.71
SV1259,Tran Thi S9,7.76
SV1260,Le Van S0,5.1
SV1261,Nguyen Van S1,4.08
SV1262,Tran Thi S2,8.01
SV1263,Le Van S3,4.06
SV1264,Nguyen Van S4,9.42
SV1265,Tran Thi S5,5.47
SV1266,Le Van S6,5.61
SV1267,Nguyen Van S7,8.26
SV1268,Tran Thi S8,9.47
SV1269,Le Van S9,4.07
SV1270,Nguyen Van S0,7.19
SV1271,Tran Thi S1,9.38
SV1272,Le Van S2,7.48
SV1273,Nguyen Van S3,6.75
SV1274,Tran Thi S4,9.3
SV1275,Le Van S5,8.69
SV1276,Nguyen Van S6,5.42
SV1277,Tran Thi S7,5.65
SV1278,Le Van S8,9.54
SV1279,Nguyen Van S9,7.99
SV1280,Tran Thi S0,4.77
SV1281,Le Van S1,8.19
SV1282,Nguyen Van S2,7.86
SV1283,Tran Thi S3,4.7
SV1284,Le Van S4,4.88
SV1285,Nguyen Van S5,6.55
SV1286,Tran Thi S6,6.61
SV1287,Le Van S7,8.26
SV1288,Nguyen Van S8,6.76
SV1289,Tran Thi S9,6.85
SV1290,Le Van S0,6.78
SV1291,Nguyen Van S1,5.49
SV1292,Tran Thi S2,6.76
SV1293,Le Van S3,5.12
SV1294,Nguyen Van S4,5.3
SV1295,Tran Thi S5,9.15
SV1296,Le Van S6,4.79
SV1297,Nguyen Van S7,4.71
SV1298,Tran Thi S8,7.62
SV1299,Le Van S9,8.79
SV1300,Nguyen Van S0,9.02
SV1301,Tran Thi S1,5.86
SV1302,Le Van S2,4.4
SV1303,Nguyen Van S3,6.46
SV1304,Tran Thi S4,7.15
SV1305,Le Van S5,7.78
SV1306,Nguyen Van S6,4.02
SV1307,Tran Thi S7,7.07
SV1308,Le Van S8,8.52
SV1309,Nguyen Van S9,9.65
SV1310,Tran Thi S0,8.62
SV1311,Le Van S1,6.17
SV1312,Nguyen Van S2,4.59
SV1313,Tran Thi S3,6.07
SV1314,Le Van S4,5.76
SV1315,Nguyen Van S5,5.66
SV1316,Tran Thi S6,5.79
SV1317,Le Van S7,9.4
SV1318,Nguyen Van S8,8.48
SV1319,Tran Thi S9,5.07
SV1320,Le Van S0,4.45
SV1321,Nguyen Van S1,7.37
SV1322,Tran Thi S2,7.8
SV1323,Le Van S3,4.41
SV1324,Nguyen Van S4,5.64
SV1325,Tran Thi S5,5.23
SV1326,Le Van S6,7.67
SV1327,Nguyen Van S7,6.43
SV1328,Tran Thi S8,9.23
SV1329,Le Van S9,7.43
SV1330,Nguyen Van S0,4.82
SV1331,Tran Thi S1,7.51
SV1332,Le Van S2,9.6
SV1333,Nguyen Van S3,8.7
SV1334,Tran Thi S4,6.52
SV1335,Le Van S5,9.9
SV1336,Nguyen Van S6,6.41
SV1337,Tran Thi S7,9.89
SV1338,Le Van S8,9.79
SV1339,Nguyen Van S9,8.15
SV1340,Tran Thi S0,7.48
SV1341,Le Van S1,4.9
SV1342,Nguyen Van S2,9.68
SV1343,Tran Thi S3,4.06
SV1344,Le Van S4,4.43
SV1345,Nguyen Van S5,5.61
SV1346,Tran Thi S6,6.79
SV1347,Le Van S7,8
SV1348,Nguyen Van S8,7.93
SV1349,Tran Thi S9,8.05
SV1350,Le Van S0,4.85
SV1351,Nguyen Van S1,6.86
SV1352,Tran Thi S2,4.78
SV1353,Le Van S3,8.44
SV1354,Nguyen Van S4,8.45
SV1355,Tran Thi S5,4.07
SV1356,Le Van S6,4.9
SV1357,Nguyen Van S7,8.03
SV1358,Tran Thi S8,5.53
SV1359,Le Van S9,6.01
SV1360,Nguyen Van S0,9.33
SV1361,Tran Thi S1,8.53
SV1362,Le Van S2,5.81
SV1363,Nguyen Van S3,9.9
SV1364,Tran Thi S4,9.9
SV1365,Le Van S5,9.43
SV1366,Nguyen Van S6,8.06
SV1367,Tran Thi S7,5.47
SV1368,Le Van S8,8.75
SV1369,Nguyen Van S9,5.81
SV1370,Tran Thi S0,7.41
SV1371,Le Van S1,4.37
SV1372,Nguyen Van S2,5.75
SV1373,Tran Thi S3,4.09
SV1374,Le Van S4,4.39
SV1375,Nguyen Van S5,5.52
SV1376,Tran Thi S6,7.99
SV1377,Le Van S7,7.91
SV1378,Nguyen Van S8,6.88
SV1379,Tran Thi S9,8.17
SV1380,Le Van S0,7.56
SV1381,Nguyen Van S1,4.04
SV1382,Tran Thi S2,9.33
SV1383,Le Van S3,4.1
SV1384,Nguyen Van S4,9.82
SV1385,Tran Thi S5,5.22
SV1386,Le Van S6,4.8
SV1387,Nguyen Van S7,7.25
SV1388,Tran Thi S8,6.85
SV1389,Le Van S9,4.67
SV1390,Nguyen Van S0,9.97
SV1391,Tran Thi S1,5.07
SV1392,Le Van S2,8.11
SV1393,Nguyen Van S3,9.43
SV1394,Tran Thi S4,5.09
SV1395,Le Van S5,4.47
SV1396,Nguyen Van S6,7.79
SV1397,Tran Thi S7,5.66
SV1398,Le Van S8,6.5
SV1399,Nguyen Van S9,4.68
SV1400,Tran Thi S0,9.16
SV1401,Le Van S1,4.76
SV1402,Nguyen Van S2,9.2
SV1403,Tran Thi S3,6.71
SV1404,Le Van S4,8.92
SV1405,Nguyen Van S5,4.58
SV1406,Tran Thi S6,8.21
SV1407,Le Van S7,9.96
SV1408,Nguyen Van S8,8.36
SV1409,Tran Thi S9,6.84
SV1410,Le Van S0,5.09
SV1411,Nguyen Van S1,8.63
SV1412,Tran Thi S2,9.46
SV1413,Le Van S3,7.06
SV1414,Nguyen Van S4,4.65
SV1415,Tran Thi S5,7.52
SV1416,Le Van S6,5.76
SV1417,Nguyen Van S7,9.89
SV1418,Tran Thi S8,7.81
SV1419,Le Van S9,5.98
SV1420,Nguyen Van S0,7.51
SV1421,Tran Thi S1,6.6
SV1422,Le Van S2,5.74
SV1423,Nguyen Van S3,5.29
SV1424,Tran Thi S4,6.24
SV1425,Le Van S5,4.68
SV1426,Nguyen Van S6,5.95
SV1427,Tran Thi S7,6.46
SV1428,Le Van S8,4.67
SV1429,Nguyen Van S9,5.15
SV1430,Tran Thi S0,7.15
SV1431,Le Van S1,4.66
SV1432,Nguyen Van S2,4.35
SV1433,Tran Thi S3,9.52
SV1434,Le Van S4,5.83
SV1435,Nguyen Van S5,9.4
SV1436,Tran Thi S6,6.87
SV1437,Le Van S7,4.83
SV1438,Nguyen Van S8,5.73
SV1439,Tran Thi S9,7.64
SV1440,Le Van S0,4.96
SV1441,Nguyen Van S1,8.03
SV1442,Tran Thi S2,9.52
SV1443,Le Van S3,6.28
SV1444,Nguyen Van S4,6.18
SV1445,Tran Thi S5,5.19
SV1446,Le Van S6,6.36
SV1447,Nguyen Van S7,4.58
SV1448,Tran Thi S8,9.02
SV1449,Le Van S9,4.87
SV1450,Nguyen Van S0,9.09
SV1451,Tran Thi S1,6.97
SV1452,Le Van S2,9.24
SV1453,Nguyen Van S3,8.27
SV1454,Tran Thi S4,4.7
SV1455,Le Van S5,6.26
SV1456,Nguyen Van S6,4.78
SV1457,Tran Thi S7,4.35
SV1458,Le Van S8,8.36
SV1459,Nguyen Van S9,9.95
SV1460,Tran Thi S0,6.64
SV1461,Le Van S1,5.29
SV1462,Nguyen Van S2,4.6
SV1463,Tran Thi S3,6.7
SV1464,Le Van S4,4.44
SV1465,Nguyen Van S5,7.23
SV1466,Tran Thi S6,7.98
SV1467,Le Van S7,5.88
SV1468,Nguyen Van S8,9.54
SV1469,Tran Thi S9,8.93
SV1470,Le Van S0,6.75
SV1471,Nguyen Van S1,8.05
SV1472,Tran Thi S2,5.12
SV1473,Le Van S3,4.41
SV1474,Nguyen Van S4,4.89
SV1475,Tran Thi S5,4.64
SV1476,Le Van S6,5.51
SV1477,Nguyen Van S7,4.96
SV1478,Tran Thi S8,7.88
SV1479,Le Van S9,9.98
SV1480,Nguyen Van S0,10
SV1481,Tran Thi S1,9.76
SV1482,Le Van S2,6.22
SV1483,Nguyen Van S3,5.95
SV1484,Tran Thi S4,4.4
SV1485,Le Van S5,9.65
SV1486,Nguyen Van S6,5.22
SV1487,Tran Thi S7,7.47
SV1488,Le Van S8,9.37
SV1489,Nguyen Van S9,8.27
SV1490,Tran Thi S0,9.13
SV1491,Le Van S1,4.99
SV1492,Nguyen Van S2,9.35
SV1493,Tran Thi S3,9.99
SV1494,Le Van S4,5.75
SV1495,Nguyen Van S5,7.92
SV1496,Tran Thi S6,9.3
SV1497,Le Van S7,4.13
SV1498,Nguyen Van S8,4.62
SV1499,Tran Thi S9,9.4
SV1500,Le Van S0,7.52
SV1501,Nguyen Van S1,5.31
SV1502,Tran Thi S2,9.57
SV1503,Le Van S3,5.24
SV1504,Nguyen Van S4,6.96
SV1505,Tran Thi S5,9.86
SV1506,Le Van S6,9.84
SV1507,Nguyen Van S7,4.16
SV1508,Tran Thi S8,8.34
SV1509,Le Van S9,7.87
SV1510,Nguyen Van S0,5.12
SV1511,Tran Thi S1,6.68
SV1512,Le Van S2,4.37
SV1513,Nguyen Van S3,9.91
SV1514,Tran Thi S4,9.12
SV1515,Le Van S5,8.7
SV1516,Nguyen Van S6,8.13
SV1517,Tran Thi S7,5.37
SV1518,Le Van S8,8.9
SV1519,Nguyen Van S9,8.58
SV1520,Tran Thi S0,6.15
SV1521,Le Van S1,5.6
SV1522,Nguyen Van S2,8.16
SV1523,Tran Thi S3,7.24
SV1524,Le Van S4,9.04
SV1525,Nguyen Van S5,8.04
SV1526,Tran Thi S6,8.2
SV1527,Le Van S7,9.72
SV1528,Nguyen Van S8,7.51
SV1529,Tran Thi S9,9.25
SV1530,Le Van S0,9.93
SV1531,Nguyen Van S1,5.03
SV1532,Tran Thi S2,9.02
SV1533,Le Van S3,9.99
SV1534,Nguyen Van S4,7.27
SV1535,Tran Thi S5,8.83
SV1536,Le Van S6,5.85
SV1537,Nguyen Van S7,9.61
SV1538,Tran Thi S8,6.85
SV1539,Le Van S9,5.86
SV1540,Nguyen Van S0,7.69
SV1541,Tran Thi S1,4.01
SV1542,Le Van S2,5.09
SV1543,Nguyen Van S3,8.58
SV1544,Tran Thi S4,5.09
SV1545,Le Van S5,8.99
SV1546,Nguyen Van S6,7.9
SV1547,Tran Thi S7,4.17
SV1548,Le Van S8,9
SV1549,Nguyen Van S9,8.42
SV1550,Tran Thi S0,7.52
SV1551,Le Van S1,5.91
SV1552,Nguyen Van S2,8.46
SV1553,Tran Thi S3,9.73
SV1554,Le Van S4,9.82
SV1555,Nguyen Van S5,4.14
SV1556,Tran Thi S6,8.2
SV1557,Le Van S7,7.77
SV1558,Nguyen Van S8,7.12
SV1559,Tran Thi S9,8.44
SV1560,Le Van S0,9.75
SV1561,Nguyen Van S1,6.13
SV1562,Tran Thi S2,5.95
SV1563,Le Van S3,4.98
SV1564,Nguyen Van S4,5.26
SV1565,Tran Thi S5,5.41
SV1566,Le Van S6,6.93
SV1567,Nguyen Van S7,5.34
SV1568,Tran Thi S8,7.13
SV1569,Le Van S9,4.35
SV1570,Nguyen Van S0,7.47
SV1571,Tran Thi S1,4.16
SV1572,Le Van S2,6.89
SV1573,Nguyen Van S3,7.84
SV1574,Tran Thi S4,4.15
SV1575,Le Van S5,4.42
SV1576,Nguyen Van S6,8.83
SV1577,Tran Thi S7,9.57
SV1578,Le Van S8,6.53
SV1579,Nguyen Van S9,9.99
SV1580,Tran Thi S0,8.79
SV1581,Le Van S1,7.79
SV1582,Nguyen Van S2,5
SV1583,Tran Thi S3,6.64
SV1584,Le Van S4,7.53
SV1585,Nguyen Van S5,9.02
SV1586,Tran Thi S6,9.3
SV1587,Le Van S7,7.75
SV1588,Nguyen Van S8,5.72
SV1589,Tran Thi S9,7.45
SV1590,Le Van S0,8.76
SV1591,Nguyen Van S1,6.55
SV1592,Tran Thi S2,6.36
SV1593,Le Van S3,5.21
SV1594,Nguyen Van S4,6.54
SV1595,Tran Thi S5,4.38
SV1596,Le Van S6,6.82
SV1597,Nguyen Van S7,7.99
SV1598,Tran Thi S8,5.17
SV1599,Le Van S9,5.31
SV1600,Nguyen Van S0,4.09
SV1601,Tran Thi S1,8.07
SV1602,Le Van S2,6.33
SV1603,Nguyen Van S3,8.39
SV1604,Tran Thi S4,9.69
SV1605,Le Van S5,8.11
SV1606,Nguyen Van S6,6.96
SV1607,Tran Thi S7,9.99
SV1608,Le Van S8,8.03
SV1609,Nguyen Van S9,7.4
SV1610,Tran Thi S0,9.57
SV1611,Le Van S1,5.99
SV1612,Nguyen Van S2,4.39
SV1613,Tran Thi S3,7.47
SV1614,Le Van S4,7.03
SV1615,Nguyen Van S5,4.85
SV1616,Tran Thi S6,8.53
SV1617,Le Van S7,4.13
SV1618,Nguyen Van S8,8.63
SV1619,Tran Thi S9,5.01
SV1620,Le Van S0,5.75
SV1621,Nguyen Van S1,7.42
SV1622,Tran Thi S2,5.42
SV1623,Le Van S3,6.82
SV1624,Nguyen Van S4,5.23
SV1625,Tran Thi S5,8.24
SV1626,Le Van S6,8.75
SV1627,Nguyen Van S7,4.49
SV1628,Tran Thi S8,8.22
SV1629,Le Van S9,4.31
SV1630,Nguyen Van S0,8.65
SV1631,Tran Thi S1,8.43
SV1632,Le Van S2,5.14
SV1633,Nguyen Van S3,4.13
SV1634,Tran Thi S4,9.2
SV1635,Le Van S5,4.13
SV1636,Nguyen Van S6,9.23
SV1637,Tran Thi S7,4.87
SV1638,Le Van S8,4.18
SV1639,Nguyen Van S9,9.85
